,name,age_group,sex,year,population,ILO_inactive_share,Total_inactive_population,ILO_unemployed_rate,Total_unemployed_population,Total_employed_population,Agriculture,Mining and quarrying,Manufacturing,Electricity,Water supply,Construction,Wholesale and retail,Transport,Accommodation,Information and communication,Financial and insurance,Real estate,Professional,Administrative and support,Public administration and defence,Education,Human health,Arts and entertainment,Other services,Activities of households,Extraterritorial organizations
80,Ghana,25-35,male,2017,2359903.04,14.184,334728.64719359996,2.493,50487.59761266355,1974686.7951937364,876209.797784837,47661.16896578821,141628.6812560074,5507.616624468498,4114.217026289394,164810.27583377584,242110.4550965287,130682.8134557413,15304.386553093947,9820.794059628537,25895.983013075085,5696.764360112528,16920.093955062188,15947.285833458274,44935.952753128055,104487.03635719104,21348.993260687806,0,0,3862.809570862713,0
81,Ghana,25-35,male,2018,2424024.32,14.351,347871.7301632,2.546,52858.84493724492,2023293.7448995549,85886050.88150276,4819598.153092822,14354004.1624037,546199.2944825991,408013.591055718,17358149.194202416,24906846.283756327,13309099.447116721,1616041.3566265767,1000176.8505964702,2743436.923008633,579371.1394776506,1720803.8625314755,1621867.534068762,4460871.370491785,10422873.294036811,2129000.8079712423,0,0,375016.0224785442,0
82,Ghana,25-35,male,2019,2488145.6,14.488,360482.534528,2.575,54787.32393590401,2072875.7415360962,85891149.55713607,4856864.565081831,14311547.421106802,560845.7284511628,418954.55011597276,17319258.50684158,24998643.673913054,13207145.592814697,1574905.6035834707,992515.0335586494,2734378.8916836525,587788.7333662423,1745805.1563304195,1645431.397217332,4439332.784572771,10374055.712200752,2072311.0354719956,0,0,376916.44709815783,0
83,Ghana,25-35,male,2020,2552266.88,15.143,386489.7736384,2.895,62699.24722916831,2103077.8591324314,87899481.77524886,4669261.199432559,14309887.362233141,558239.8927192561,417007.9778566956,17191365.461336024,24458440.99679006,12593670.956145918,1425771.06825173,946412.5055504813,2608923.125125963,569880.7437950762,1692616.2148653353,1595300.5140806572,4449988.682088097,10255187.753981194,2040170.927156037,0,0,372793.3419608895,0
84,Ghana,25-35,male,2021,2615375.52,14.999,392280.1742448,2.973,66092.6246293021,2157002.721125898,86323590.7385547,4916222.184016274,14408153.823503898,571943.7248288153,427244.80863756005,17355333.50383847,24469029.261558726,13027426.960059011,1460906.4301572873,979009.2049473809,2564650.0153077133,576287.0851471201,1711643.8401509705,1613234.1603102738,4397206.21161877,10349745.3280573,2106266.3406720445,0,0,388572.84901598224,0
85,Ghana,25-35,male,2022,2678484.16,14.916,399522.69730560004,2.9,66089.8824181376,2212871.5802762625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
86,Ghana,25-35,male,2023,2741592.8,15.161,415652.884408,2.933,68219.81772431335,2257720.0978676863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
87,Ghana,25-35,male,2024,2804701.44,15.362,430858.2352128,2.912,69126.31412340327,2304716.8906637966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
104,Kenya,15-24,female,2015,4742700.0,55.928,2652497.256,7.339,153399.97938216003,1936802.7646178398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
105,Kenya,15-24,female,2016,4887980.0,56.361,2754914.4077999997,7.371,157228.264801062,1975837.3273989381,71407295.38674599,1207353.5453002227,12130353.95239401,0.0,514271.97237907763,4551664.578439663,46029383.76241897,4422923.290389127,8635984.752077674,289769.6827504608,2071201.149235406,485418.6099626802,848269.1228799144,2300955.998195084,3555035.1144209816,12314824.206316113,3942594.112039277,0,0,9490859.098343289,0
106,Kenya,15-24,female,2017,5033260.0,56.906,2864226.9356,9.304,201806.836311776,1967226.2280882238,71785518.57356404,1207999.8682539838,12184487.009832185,0.0,517832.67610207177,4584144.033691084,46635182.89213533,4260869.742545177,8756831.2714894,279152.6762901935,2111574.0902107824,473589.2505783503,827597.3148708472,2244883.085308057,3570008.0631733984,12412468.914771998,3957306.1011066935,0,0,9601153.388970355,0
107,Kenya,15-24,female,2018,5178540.0,57.463,2975744.4401999996,11.192,246536.87905281605,1956258.6807471844,72112109.87316124,1206597.973982536,12237728.817416435,0.0,521955.1037184149,4553252.982254098,46357648.56429965,4465596.446328052,8653215.015350008,292565.4325400294,2081525.2205565788,490568.6135332338,857268.7552012993,2325367.776736707,3617842.4978358913,12491343.656325981,3990789.3479238395,0,0,9598456.60895735,0
