,name,age_group,sex,year,population,Total_inactive_population,Total_unemployed_population,Total_employed_population,Less than basic_employed,Basic_employed,Intermediate_employed,Advanced_employed,Level not stated_employed,Less than basic_unemployed,Basic_unemployed,Intermediate_unemployed,Advanced_unemployed,Level not stated_unemployed
214,Rwanda,15-24,female,2021,1335160.0,814527.7096,99664.63935127202,420967.65104872803,5655.470551864875,362531.508404893,47047.08730596352,5734.700703637252,,8657.36996917677,590885.7278962426,195202.116805013,19782.494929567485,
215,Rwanda,15-24,female,2022,1373220.0,849295.3734,97963.426681668,425961.1999183319,,,,,,,,,,
216,Rwanda,15-24,female,2023,1411280.0,882346.3687999999,96620.30641130402,432313.324788696,,,,,,,,,,
217,Rwanda,15-24,female,2024,1449340.0,914026.271,95692.68219604001,439621.04680396,,,,,,,,,,
234,Rwanda,15-24,male,2015,1091100.0,587895.591,77835.65798412,425368.75101588,,,,,,,,,,
235,Rwanda,15-24,male,2016,1128820.0,614721.5074,79628.715518814,434469.77708118595,,,,,,,,,,
236,Rwanda,15-24,male,2017,1166540.0,640045.5018,81532.93799125201,444961.560208748,12001.661131921566,388955.9088393084,37515.30007623229,6488.690161285677,,7414.131560846901,426345.51644452283,156973.6409910419,49303.974879631896,
237,Rwanda,15-24,male,2018,1204260.0,703203.5418000001,85825.960725078,415230.49747492187,8069.018576306261,358288.5812836198,41204.61470249315,7624.276893346703,,,504966.5628823032,147113.961269719,47637.551033871816,
238,Rwanda,15-24,male,2019,1241980.0,729737.7688,84673.64081736,427568.59038264,7465.8216981456035,377848.18133267295,34540.99574133913,7712.656629681037,,,520649.83374639944,151926.005665887,51469.418696808774,
239,Rwanda,15-24,male,2020,1279700.0,671599.3570000001,94687.35112152998,513413.29187847,8567.440217776637,424039.8376277909,68598.58844198017,12207.425590922287,,,472629.39830593625,144340.9449623875,50809.985556445026,
240,Rwanda,15-24,male,2021,1317280.0,730734.7344,96615.73614963201,489929.529450368,16501.915733826543,418767.3303364324,48151.78536541525,6509.654258789478,,12307.996101552872,571937.5690878185,118396.91859640129,28086.24671368992,
241,Rwanda,15-24,male,2022,1354860.0,764561.0466,96082.960644918,494215.99275508197,,,,,,,,,,
242,Rwanda,15-24,male,2023,1392440.0,797297.2196,95300.21342545202,499842.56697454804,,,,,,,,,,
243,Rwanda,15-24,male,2024,1430020.0,828310.4846000001,94654.92386757399,507054.59153242595,,,,,,,,,,
260,Rwanda,25-35,female,2015,1096585.6,431966.9995520001,71891.79401046016,592726.8064375399,,,,,,,,,,
261,Rwanda,25-35,female,2016,1103553.376,432173.57310911996,73039.40875649884,598340.3941343811,,,,,,,,,,
262,Rwanda,25-35,female,2017,1110521.152,433158.77533760003,73974.7451553007,603387.6315070993,117174.58735671312,403412.7321075006,44429.84051629727,38344.70370401407,25.76782257408374,61589.59566501573,255908.20710718815,58689.1271749202,56412.19552322403,559.6498672519168
263,Rwanda,25-35,female,2018,1117488.928,526124.9621916801,65812.89575480793,525551.070053512,96884.14012859047,352361.11519471335,40597.076282153335,35709.103467307716,,58973.415709310655,305214.4940381939,88148.3305806086,73788.72186356694,
264,Rwanda,25-35,female,2019,1124456.704,551107.47519744,68704.43808741076,504644.79071514914,95371.7643256814,333113.6894772327,38911.688506114704,37247.64840612032,,55819.36905775542,335052.9366197488,88095.82960557875,72139.33991435707,
265,Rwanda,25-35,female,2020,1131424.48,505950.3989664,80079.44659473181,545394.6344388681,95504.5917832612,364891.67182889255,46224.48055600683,38752.37919500692,,50074.85445231167,304779.7596979942,89251.7983716331,61843.98644446103,
266,Rwanda,25-35,female,2021,1141668.736,520726.52717695996,81852.60196705314,539089.6068559869,90035.02215643863,363447.41830966197,47934.471027741114,37642.638725319266,,55983.978608172794,350327.2359752703,71469.73082504893,42945.58176846792,
267,Rwanda,25-35,female,2022,1151912.992,535443.71607136,79105.3374871631,537363.9384414769,,,,,,,,,,
268,Rwanda,25-35,female,2023,1162157.2480000001,549921.1881811201,76566.24164094914,535669.8181779309,,,,,,,,,,
269,Rwanda,25-35,female,2024,1172401.504,563057.54631104,74431.36443170646,534912.5932572535,,,,,,,,,,
286,Rwanda,25-35,male,2015,1025688.96,218153.78490239996,78904.2619587865,728630.9131388136,,,,,,,,,,
287,Rwanda,25-35,male,2016,1038388.8,223814.321952,80080.81693689887,734493.6611111012,,,,,,,,,,
288,Rwanda,25-35,male,2017,1051088.6400000001,228559.22476800001,81216.5544600077,741312.8607719925,96436.13476873697,512128.74686345656,63937.21365964186,68505.9257846109,304.8396955461716,21234.147898344298,145366.57943815476,32065.976762689446,29656.63114293896,237.2530491435117
289,Rwanda,25-35,male,2018,1063788.48,316413.24549119995,71725.60125580954,675649.6332529904,79857.09691958525,476892.6721368877,55264.185916532995,63636.097882629205,,26462.543352103763,198964.54225836776,44316.084213769594,46670.07566695879,
290,Rwanda,25-35,male,2019,1076488.32,324916.46962560003,74796.43054926029,676775.4198251397,73468.02463597494,474312.47428686,61564.23627252348,67430.68462978139,,21907.535094381263,206616.5854660044,48586.76931326245,47807.59312710993,
291,Rwanda,25-35,male,2020,1089188.16,300626.8240416,82649.1136217999,705912.2223366001,71131.56188562565,493082.1381577663,70305.01492942248,71393.50736378554,,22088.572084475163,189037.96782656733,46240.5990210463,43259.685109511185,
292,Rwanda,25-35,male,2021,1098918.2719999999,305422.35533695994,85110.37202127767,708385.5446417623,72895.0570825191,497781.22499007935,71453.26482803698,66256.42367680019,,27231.626025212918,198679.8446825362,41261.92448136746,38250.31246576686,
293,Rwanda,25-35,male,2022,1108648.384,317849.4916928,82946.89581410222,707851.9964930979,,,,,,,,,,
294,Rwanda,25-35,male,2023,1118378.496,331084.76995584,80736.97160582861,706556.7544383314,,,,,,,,,,
295,Rwanda,25-35,male,2024,1128108.608,342617.86533568,78823.9960263645,706666.7466379555,,,,,,,,,,
